tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName|attitude
1016433608591052800|07-09-2018|@GrowthEnergy @USDA @EPA #SAVEMOTHEREARTH #RESCUEMOTHEREARTH #SAVEWILDANIMALS #RESCUEMOTHEREARTH #RESCUEANIMALS? https://t.co/hSgOmmJhLa|#SAVEMOTHEREARTH,#RESCUEMOTHEREARTH,#SAVEWILDANIMALS,#RESCUEMOTHEREARTH,#RESCUEANIMALS||1|@GrowthEnergy,@USDA,@EPA|positive
1016433341485277185|07-09-2018|#Corn rated 75% good-to-excellent,  71% of the #soybean crop in good-to-excellent condition.? https://t.co/eKpTE9GInl|#Corn,#soybean||1||positive
1016432979269292039|07-09-2018|RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?|||47|@peta,@utmbhealth,@USDA|positive
1016432468709265408|07-09-2018|RT @USDA: Here's a little pick-me-up for those feeling the Monday blues. #MondayMotivation https://t.co/2kTsoV1xUw|#MondayMotivation||43|@USDA|positive
1016432268280238090|07-09-2018|RT @GrowthEnergy: As June 1 marks the beginning of fuel restrictions on E15, leaders across the heartland are urging @USDA to push @EPA to?|||609|@GrowthEnergy,@USDA,@EPA|positive
1016431963455000576|07-09-2018|RT @USDAForeignAg: Five new agricultural officers sworn into foreign service @USDA by FAS Admin. Ken Isley today. They will serve as ag att?|||4|@USDAForeignAg,@USDA|positive
1016431846505279488|07-09-2018|RT @USDA: Learn about USDA #disaster assistance programs that might be right for you by completing 5 simple steps: https://t.co/36ffONmWRl?|#disaster||13|@USDA|positive
1016431818688483330|07-09-2018|@RBReich @ModFarm @GOP @USDA @FarmAid 
How many farmers are being hurt?|||1|@RBReich,@ModFarm,@GOP,@USDA,@FarmAid|positive
1016431685259481093|07-09-2018|@TheCavalryGroup @ele_facts @CityHorsesRock @theresa_mh3940 @RealGreyhound @mamabearwelde   @VoteFiore? https://t.co/Alt0a1h8hm|||3|@TheCavalryGroup,@ele_facts,@CityHorsesRock,@theresa_mh3940,@RealGreyhound,@mamabearwelde,@VoteFiore|positive
1016431215744696320|07-09-2018|@EPA @EPAAWheeler Please consult with @NASAClimate  @NOAAClimate @NWS @USGS @USDA DOD...for the AMERICAN people now? https://t.co/VYN4r0L3Z7|||0|@EPA,@EPAAWheeler,@NASAClimate,@NOAAClimate,@NWS,@USGS,@USDA|positive
1016430260475138048|07-09-2018|#Tariff impacts calculated in next @USDA forecast @brownfield #agnews https://t.co/Tqad9efWFZ|#Tariff,#agnews||0|@USDA,@brownfield|positive
1016430242217496576|07-09-2018|RT @USDA: Here's a little pick-me-up for those feeling the Monday blues. #MondayMotivation https://t.co/2kTsoV1xUw|#MondayMotivation||43|@USDA|positive
1016430236806860800|07-09-2018|#Tariff impacts calculated in next @USDA forecast @brownfield #agnews https://t.co/Y1a5KTO5Po|#Tariff,#agnews||1|@USDA,@brownfield|positive
1016429980002074624|07-09-2018|RT @USDA: Don't let food poisoning crash your #wedding! Check out these tips from @USDAFoodSafety - https://t.co/l5p1szCUVt https://t.co/lp?|#wedding||13|@USDA,@USDAFoodSafety|positive
1016429787873767434|07-09-2018|Food safety is always important to you and your family. The @USDA has a list of best practices to help you prepare? https://t.co/2gmRsWdPEl|||0|@USDA|positive
1016428752853708801|07-09-2018|RT @GrowthEnergy: Thank you @SecretarySonny, @SenJoniErnst, and @ChuckGrassley for standing up for farm families and continuing to push for?|||1430|@GrowthEnergy,@SecretarySonny,@SenJoniErnst,@ChuckGrassley|positive
1016428169522565120|07-09-2018|Too many fake organic imports hurting USA farmers, @SecretarySonny. Need @USDA to #MAGA the NOP @realDonaldTrump https://t.co/zHcQoQp4bm|#MAGA||0|@SecretarySonny,@USDA,@realDonaldTrump|positive
1016427803598827526|07-09-2018|@why_waste_food @USDA @WRIFood @ChurchillTrust @envirogov It was great to finally meet in person! Looking forward to seeing your findings.|||0|@why_waste_food,@USDA,@WRIFood,@ChurchillTrust,@envirogov|positive
1016427745067388928|07-09-2018|Check out the current Nebraska corn conditions. 86% of corn in Nebraska is good or excellent. @USDA https://t.co/6k3r7VaszP|||4|@USDA|positive
1016427088671399936|07-09-2018|RT @TexasVLB: Are you a Texas Veteran interested in farming? The @USDA announced a new partnership with @TAMU @txextension that will help #?|||13|@TexasVLB,@USDA,@TAMU,@txextension|positive
1016426477334622208|07-09-2018|RT @USDA: Agriculture @SecretarySonny visits Prince of Wales Island in Alaska during his 5th #BackToOurRoots tour. USDA photo by Paul Robbi?|#BackToOurRoots||13|@USDA,@SecretarySonny|positive
1016426186115776512|07-09-2018|RT @DartsSquatsDDog: https://t.co/mHrUzPMsaf ? "I think it's important that we have issues that bridge the divide," @RepMikeBishop "...we'r?|||2|@DartsSquatsDDog,@RepMikeBishop|positive
1016425800697032715|07-09-2018|RT @Sheril_: Hey ?@USDA? & ?@SecretarySonny? - I love that you?re working to tackle #foodwaste bc that can have such an enormous impact! Wo?|#foodwaste||2|@Sheril_,@USDA,@SecretarySonny|positive
1016425138965897216|07-09-2018|RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?|||47|@peta,@utmbhealth,@USDA|positive
1016425082154094592|07-09-2018|Some food stamp recipients may soon lose access to farmers markets ? important story by @jane_black @leahjdouglas f? https://t.co/flYubFmR75|||0|@jane_black,@leahjdouglas|positive
1016425076806377478|07-09-2018|awesome news @USDA @TAMU @txextension!  Thank you! https://t.co/9VUnXBjNQ7|||0|@USDA,@TAMU,@txextension|positive
1016424709720768512|07-09-2018|@codepted @USDA @deltaschools Hold the round up|||0|@codepted,@USDA,@deltaschools|positive
