tweetId|tweetDate|tweetText|hashTag|hashtagList|location|numberRetweets|userMentions_userName|attitude
#corn #soybean #wheat #cott?|#QuarterlyGrainStocks,#PlantedAcreage,#corn,#soybean,#wheat|#QuarterlyGrainStocks,#PlantedAcreage,#corn,#soybean,#wheat||1|@AgHedgeGrossman,@USDA|positive
1012345769691615233|06-28-2018|RT @PatriciaHammes2: @SecretaryZinke @SecretarySonny Follow @POTUS lead and end the politically motivated mineral withdrawal in @SuperiorNF?||||2|@PatriciaHammes2,@SecretaryZinke,@SecretarySonny,@POTUS,@SuperiorNF|positive
1012345678759186432|06-28-2018|RT @wefishhm70: @POTUS @DOIDepSec @SecretaryRoss @SecretaryPerry @EPAScottPruitt @SecretarySonny @SecretaryAcosta @DonaldJTrump @amyklobuch?||||2|@wefishhm70,@POTUS,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPAScottPruitt,@SecretarySonny,@SecretaryAcosta,@DonaldJTrump|positive
1012345661944156160|06-28-2018|RT @wefishhm70: @RepGosar @Replouiegohmert @RepDLamborn @RobWittman @RepStevePearce @RepLizCheney @RepRobBishop @RepGarretGraves @RepWester?||||3|@wefishhm70,@RepGosar,@replouiegohmert,@RepDLamborn,@RobWittman,@RepStevePearce,@RepLizCheney,@RepRobBishop,@RepGarretGraves|positive
1012345648815976449|06-28-2018|RT @wefishhm70: @RepGosar @Replouiegohmert @RepDLamborn @RobWittman @RepStevePearce @RepLizCheney @RepWesterman @CongressmanHice @RepLaHood?||||2|@wefishhm70,@RepGosar,@replouiegohmert,@RepDLamborn,@RobWittman,@RepStevePearce,@RepLizCheney,@RepWesterman,@CongressmanHice,@RepLaHood|positive
1012345616117182464|06-28-2018|.@HighPointGlobal?s Cal Shintani: @GSA, @USDA Make Strides in Customer Experience Through Centers of Excellence? https://t.co/pPZEEOIqhV||||0|@HighPointGlobal,@GSA,@USDA|positive
1012345591999889410|06-28-2018|RT @wefishhm70: @POTUS @SecretaryZinke @DOIDepSec @SecretaryRoss @SecretaryPerry @SecretarySonny @SecretaryAcosta @DonaldJTrump @amyklobuch?||||5|@wefishhm70,@POTUS,@SecretaryZinke,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@SecretarySonny,@SecretaryAcosta,@DonaldJTrump|positive
1012345520466071552|06-28-2018|RT @ACESCareerServ: Loan Specialist (Agriculture) with Wisconsin Farm Service Agency @usdafsa in Shawano, WI. #1711494 Handshake @ Illinois?||||1|@ACESCareerServ,@usdafsa|positive
1012345483824640000|06-28-2018|RT @FishMaki: @POTUS @SecretaryZinke @DOIDepSec @SecretaryRoss @SecretaryPerry @SecretarySonny @SecretaryAcosta @DonaldJTrump @amyklobuchar?||||2|@FishMaki,@POTUS,@SecretaryZinke,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@SecretarySonny,@SecretaryAcosta,@DonaldJTrump,@amyklobuchar|positive
1012345471350853632|06-28-2018|RT @FishMaki: @SecretaryZinke @DOIDepSec @SecretaryRoss @SecretaryPerry @EPAScottPruitt @SecretarySonny @SecretaryAcosta @DonaldJTrump @amy?||||1|@FishMaki,@SecretaryZinke,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPAScottPruitt,@SecretarySonny,@SecretaryAcosta,@DonaldJTrump|positive
