tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName,,,,,,,,,,
1026977623816265729|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026977576374362112|08-07-2018|@SteveScalise @USDA Another contender for Great American Liar contest. Believe it or not some of us actually read t? https://t.co/PNaxVIhWDk|||5|@SteveScalise,@USDA,,,,,,,,,
1026977541280747520|08-07-2018|RT @tfemaker: @SteveScalise @USDA Yet BLS statistics indicate hourly workers have seen a 0.2% reduction in REAL WAGES in the last 12 months?|||4|@tfemaker,@SteveScalise,@USDA,,,,,,,,
1026977529872216064|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026977499450941440|08-07-2018|@WhiteHouse @USDA You're kidding right? Boy Bill Slime (Shine) is working overtime. Or he's too busy turning a blin? https://t.co/UuazyjXH9q|||0|@WhiteHouse,@USDA,,,,,,,,,
1026977440013398016|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026977354650767360|08-07-2018|RT @chrisgtaylor: @SteveScalise @USDA  https://t.co/B6mpE3sIO0|||5|@chrisgtaylor,@SteveScalise,@USDA,,,,,,,,
1026977264330661888|08-07-2018|@WhiteHouse @USDA So much winning...just helped box up the last of my neighbor's equipment from his dairy farm.   Y? https://t.co/GzU2bD077S|||4|@WhiteHouse,@USDA,,,,,,,,,
1026977225390735361|08-07-2018|RT @KnowYourObama: @SteveScalise @USDA Uh, no. that would be Obama's economic policies. trump is putting us in reverse https://t.co/9oyQH3n?|||9|@KnowYourObama,@SteveScalise,@USDA,,,,,,,
1026977121514614785|08-07-2018|@WhiteHouse @USDA Did they stay at Trump International in DC for free?|||0|@WhiteHouse,@USDA,,,,,,,,,
1026977016824901633|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026976951192313861|08-07-2018|RT @skeila: The n=1 diets for 1 month by @NutritionWonk (#LCHFdiet) @kcklatt (#LCHFVegan) & @AlanLevinovitz (#carnivorediet) need balance!?|#LCHFdiet,#LCHFVegan,#carnivorediet||8|@skeila,@NutritionWonk,@kcklatt,@AlanLevinovitz,,,,,
1026976924193751040|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026976862268870656|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026976766076899328|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026976688402456576|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026976629585838080|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026976589958078464|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026976582420783104|08-07-2018|@BobbyAbernathy6 @WhiteHouse @USDA Yeah President Trump forever!!!|||0|@BobbyAbernathy6,@WhiteHouse,@USDA,,,,,,,,
1026976449784246272|08-07-2018|@WhiteHouse @USDA #Tariffs are killing our farmers and other industries. #magaFail|#Tariffs,#magaFail||0|@WhiteHouse,@USDA,,,,,,,,
1026976272830947330|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
