tweetId,tweetDate,tweetText,hashtagList,location,numberRetweets,userMentions_userName,tweetSentiment
1024415243248852992,07-31-2018,RT @SecretarySonny: The aid for farmers announced today is clear statement that other nations can't bully our agricultural producers to for?,,,1441.0,@SecretarySonny,neg
1024414783355990017,07-31-2018,RT @SecretarySonny: The aid for farmers announced today is clear statement that other nations can't bully our agricultural producers to for?,,,1441.0,@SecretarySonny,neg
1024414551931011072,07-31-2018,RT @RepJenniffer: Conversando en @fortalezapr con el secretario de @usda @SecretarySonny junto a @ricardorossello @beatrizrossello @secdagr?,,,37.0,"@RepJenniffer,@fortalezapr,@USDA,@SecretarySonny,@ricardorossello,@BeatrizRossello",pos
1024414324461379585,07-31-2018,RT @SecretarySonny: We value our longstanding partnership w/@US_FDA to combat the many variables related to anti-microbial resistance and l?,,,12.0,"@SecretarySonny,@US_FDA",pos
1024414235294543873,07-31-2018,"RT @SecretarySonny: Packed house at Hacienda Lealtad in Lares, where we had a lively townhall discussion with local leaders and producers a?",,,33.0,@SecretarySonny,neg
1024414179808223233,07-31-2018,"RT @SecretarySonny: Had a lovely evening last night at La Fortaleza, Governor @RicardoRosello_ ?s home, with Congresswoman from Puerto Rico?",,,39.0,"@SecretarySonny,@RicardoRosello_",pos
1024414158761222144,07-31-2018,"RT @SecretarySonny: On our way to a dairy farm this morning, we visited an Emergency Watershed Protection Program site with @repjenniffer.?",,,34.0,"@SecretarySonny,@RepJenniffer",pos
1024414002682781701,07-31-2018,"RT @SecretarySonny: Toured a diverse poultry facility, where they raise hens to produce eggs and make fertilizer from the waste. This famil?",,,36.0,@SecretarySonny,neg
1024413029545508864,07-31-2018,"RT @usdaRD: If you haven't seen this Rural Development opioid infographic yet, now's the time to check it out. @USDA stands ready with a va?",,,33.0,"@usdaRD,@USDA",pos
1024413005013037056,07-31-2018,"@ThusSpokeStella @SecretarySonny @POTUS Temporary help until trade is fair, USA is so strong it won?t take long. Fa? https://t.co/r1XRXygNZw",,,0.0,"@ThusSpokeStella,@SecretarySonny,@POTUS",neg
1024412996204933122,07-31-2018,RT @SecretarySonny: The aid for farmers announced today is clear statement that other nations can't bully our agricultural producers to for?,,,1441.0,@SecretarySonny,neg
1024412958103928832,07-31-2018,RT @RepJenniffer: Celebramos una reunión con el @SecretarySonny @SecDAgricultura en Lares con agricultores para discutir las necesidades de?,,,17.0,"@RepJenniffer,@SecretarySonny,@SecDAgricultura",pos
1024412668378206215,07-31-2018,".@SecretarySonny Discusses #Trade Aid, While U.S., #China #Trade Talks Show Little Progress https://t.co/wvxP2OuIKz","#Trade,#China,#Trade",,0.0,@SecretarySonny,pos
1024412598987575296,07-31-2018,RT @RepJenniffer: Celebramos una reunión con el @SecretarySonny @SecDAgricultura en Lares con agricultores para discutir las necesidades de?,,,17.0,"@RepJenniffer,@SecretarySonny,@SecDAgricultura",pos
1024411990033399808,07-31-2018,RT @SecretarySonny: The aid for farmers announced today is clear statement that other nations can't bully our agricultural producers to for?,,,1441.0,@SecretarySonny,neg
1024411966511689736,07-31-2018,@estimacionesbc @ecopati @SecretarySonny @USAmbassadorARG @USDA @USEmbArgentina que nivel! ?felicitaciones a todo e? https://t.co/gSgeE01plH,,,0.0,"@estimacionesbc,@ecopati,@SecretarySonny,@USAmbassadorARG,@USDA,@USEmbArgentina",neg
1024411599006846977,07-31-2018,"RT @SecretarySonny: Packed house at Hacienda Lealtad in Lares, where we had a lively townhall discussion with local leaders and producers a?",,,33.0,@SecretarySonny,neg
1024411205115555841,07-31-2018,RT @RepJenniffer: Celebramos una reunión con el @SecretarySonny @SecDAgricultura en Lares con agricultores para discutir las necesidades de?,,,17.0,"@RepJenniffer,@SecretarySonny,@SecDAgricultura",pos
1024411080741847042,07-31-2018,RT @RepJenniffer: Celebramos una reunión con el @SecretarySonny @SecDAgricultura en Lares con agricultores para discutir las necesidades de?,,,17.0,"@RepJenniffer,@SecretarySonny,@SecDAgricultura",pos
1024411075134087170,07-31-2018,Celebramos una reunión con el @SecretarySonny @SecDAgricultura en Lares con agricultores para discutir las necesida? https://t.co/S8hkGVbc2C,,,17.0,"@SecretarySonny,@SecDAgricultura",pos
1024411001482108928,07-31-2018,"RT @EmbajadaEEUUarg: Durante su estadía en la Argentina, el secretario de Agricultura @SecretarySonny visitó un establecimiento agropecuari?",,,7.0,"@EmbajadaEEUUarg,@SecretarySonny",pos
1024410661823102978,07-31-2018,"RT @FarmPolicy: ""@SecretarySonny Says #Trade Compensation Plan Won't Make #Farmers Whole,"" https://t.co/bkfq8l9r96 (MP3- 1 minute).  @USDA?","#Trade,#Farmers",,2.0,"@FarmPolicy,@SecretarySonny,@USDA",pos
1024410637693329408,07-31-2018,"RT @FarmPolicy: 1/ ""Here's How America Uses Its Land,"" https://t.co/uhgpkvD7qn - ""Using surveys, satellite images and categorizations from?",,,36.0,@FarmPolicy,neg
1024410301158940672,07-31-2018,"RT @SecretarySonny: Packed house at Hacienda Lealtad in Lares, where we had a lively townhall discussion with local leaders and producers a?",,,33.0,@SecretarySonny,neg
